x,y,utc
911638.337623,579308.747618,1394719935.0
911618.781163,579292.25442,1394719958.0
911634.258697,579292.171856,1394720042.0
911634.666372,579295.606964,1394720081.0
914342.877467,574871.531312,1394720095.0
914342.877467,574871.531312,1394720148.0
914388.242737,575247.687338,1394720178.0
914372.634047,575032.944431,1394720191.0
914283.299717,574843.833115,1394720306.0
911634.57415,579309.110422,1394720369.0
914388.294999,575248.752308,1394720436.0
913377.794141,574807.070948,1394720635.0
913769.61948,575139.704311,1394720689.0
911623.762634,579305.996717,1394720859.0
914579.116219,574670.247958,1394721425.0
914281.145298,574814.36021,1394721514.0
914478.102681,574781.08295,1394721525.0
914568.694209,574687.885218,1394721698.0
911956.778918,580087.604222,1394721759.0
913501.555573,575788.304681,1394721822.0
911625.474143,579302.114077,1394721913.0
913495.213516,574804.88847,1394722116.0
914225.062487,574884.017562,1394722221.0
914643.333795,575018.915408,1394722256.0
914189.021103,575702.494945,1394722271.0
914638.634599,575020.579599,1394722274.0
914635.257452,574658.380596,1394722311.0
911609.306308,579297.266513,1394722396.0
911628.958697,579310.426408,1394722411.0
914543.01173,574943.170976,1394722430.0
913750.213767,575591.80667,1394722546.0
914405.928703,575219.471696,1394722800.0
913325.386513,575650.494507,1394722823.0
913531.951536,574911.050768,1394722918.0
913727.618249,574870.322937,1394722919.0
913374.775517,574798.622116,1394722922.0
913483.888466,574940.206446,1394722954.0
913375.993488,574801.336985,1394723002.0
913485.389819,574940.550038,1394723033.0
911641.371023,579303.399084,1394723103.0
913838.750915,575250.847927,1394723144.0
911640.801526,579304.226559,1394723166.0
913463.37652,575818.662001,1394723204.0
913838.750915,575250.847927,1394723228.0
913377.487103,574803.657045,1394723247.0
914004.453122,574582.080949,1394723271.0
911627.201986,579309.012358,1394723400.0
913375.858116,574800.636084,1394723432.0
913046.178171,573770.781811,1394723469.0
911645.016297,579299.970279,1394723534.0
914135.159027,575506.891072,1394723563.0
913377.143858,574805.317584,1394723606.0
911645.016297,579299.970279,1394723626.0
914232.506052,574800.506585,1394723631.0
911642.534506,579309.993352,1394723723.0
913772.008442,575543.221285,1394723733.0
914397.224546,574887.978286,1394723780.0
913374.807101,574800.896262,1394723839.0
913377.009423,574801.237751,1394723849.0
911646.468789,579307.772004,1394723854.0
914305.444089,574890.209945,1394723872.0
913485.746393,574940.924883,1394723881.0
913484.117476,574940.736517,1394723892.0
911641.201748,579304.816805,1394723925.0
913293.502688,575707.962006,1394723932.0
913375.623553,574801.784924,1394723942.0
913377.261353,574801.29372,1394723955.0
913376.46525,574802.317195,1394724008.0
913385.469887,575900.369852,1394724138.0
911643.012148,579308.244101,1394724145.0
913377.691681,574804.570155,1394724147.0
913790.579531,574902.095865,1394724151.0
913376.091316,574805.007016,1394724161.0
913376.091316,574805.007016,1394724175.0
911622.308509,579310.158468,1394724179.0
914277.201336,574843.632733,1394724197.0
913790.636633,574907.036122,1394724226.0
914558.540948,575071.896078,1394724234.0
913394.41696,575893.225993,1394724276.0
914434.602304,575263.236514,1394724280.0
913378.520482,574805.195676,1394724285.0
914435.496619,575262.376568,1394724329.0
913378.940812,574806.465608,1394724391.0
913376.881351,574803.579347,1394724400.0
914232.403327,574800.530819,1394724470.0
914289.534026,574837.717829,1394724522.0
913380.358011,574805.956244,1394724591.0
913387.734107,575887.72647,1394724663.0
913375.037662,574802.942022,1394724675.0
913392.628922,575901.956073,1394724746.0
913393.929644,575892.443403,1394724770.0
911641.950882,579314.997027,1394724843.0
913376.717814,574802.969448,1394724880.0
913991.516236,574567.419565,1394724886.0
913434.387975,574805.21007,1394725018.0
914368.253931,575024.007337,1394725202.0
911618.939556,579300.579351,1394725215.0
913165.933946,574716.047705,1394725398.0
911621.176448,579296.422146,1394725475.0
911645.255215,579306.122279,1394725535.0
913771.358887,575142.078202,1394725543.0
911624.267446,579300.401074,1394725649.0
911644.676406,579308.02905,1394725698.0
911644.825985,579307.824969,1394725729.0
911644.825985,579307.824969,1394725750.0
911644.347388,579314.004723,1394725845.0
913772.512855,575143.956891,1394725968.0
913189.004279,574761.168076,1394726221.0
914552.017087,575074.599442,1394726316.0
914445.136398,574873.719681,1394726356.0
914484.8173,575000.841131,1394726362.0
911635.797384,579317.642433,1394726433.0
914478.823851,574661.620165,1394726490.0
914595.567649,575045.782696,1394726661.0
911637.254363,579303.46375,1394726736.0
914284.904168,575400.172625,1394726867.0
914419.319511,575041.234354,1394726880.0
911639.536807,579310.380663,1394726982.0
914595.043197,575047.11193,1394727045.0
911650.007864,579303.919972,1394727061.0
914586.455845,575045.330797,1394727077.0
914336.745619,574690.026462,1394727082.0
913665.202629,575779.47156,1394727084.0
914442.79845,574873.337642,1394727181.0
913472.672876,574920.860956,1394727281.0
914333.849464,575371.694427,1394727292.0
913268.765339,574772.991272,1394727376.0
913353.96418,575684.023832,1394727382.0
913355.847265,575682.906797,1394727444.0
914586.455845,575045.330797,1394727479.0
913351.047048,575684.995785,1394727495.0
914263.060999,574778.719827,1394727542.0
913870.867231,575285.660474,1394727560.0
913348.622641,575672.765997,1394727602.0
911652.117579,579315.009512,1394727631.0
913366.037337,575678.291274,1394727669.0
914442.07091,574859.840484,1394727744.0
913354.972043,575682.196804,1394727784.0
913480.547606,574897.279202,1394727983.0
911646.896827,579313.37798,1394728051.0
911640.155679,579306.705083,1394728154.0
914206.80305,574762.961989,1394728242.0
914643.500259,575031.439897,1394728277.0
914475.60672,574881.868795,1394728368.0
914409.534679,574888.513828,1394728453.0
914194.881285,574746.774265,1394728460.0
914480.025196,575083.573076,1394728483.0
914475.718874,574883.553483,1394728548.0
913751.715132,575375.602939,1394728751.0
913978.581358,575477.36292,1394728926.0
914232.829644,575358.182736,1394729004.0
913978.16561,575477.351041,1394729005.0
913978.266085,575478.072986,1394729018.0
914455.102034,574926.136269,1394729128.0
913797.345809,574969.099612,1394729231.0
